Species,1: 0: 0: 0: 0,0: 1: 0: 0: 0,0: 0: 1: 0: 0,0: 0: 0: 1: 0,0: 0: 0: 0: 1,1: 3: 0: 0: 0,3: 1: 0: 0: 0,1: 0: 0: 3: 0,0: 1: 0: 3: 0,0: 0: 1: 3: 0,1: 0: 0: 0: 3,0: 1: 0: 0: 3,0: 0: 1: 0: 3
A. fumigatus,109753.74,0,0,0,0,59925.19,82644.69,68440.4,0.19,0.74,132726.97,0,2.28
A. flavus,1.27,42045.49,0,0,0,41218.61,32235.41,1.14,31946.04,0,0,48788.94,1.68
A. terreus,0,0,26640.72,0,0,0,0,0,0.19,12882.18,0,0,18011.76
A. niger,0,0.67,0,2407.22,0,0,0,4167.59,3211.57,4300.01,0,0,0
A. nidulans,0,0,0,0,4588.63,0,0,0,0,0.74,3559.51,3621.15,6223.52
